0.975,-0.019,-0.074
148.758,-0.976,-0.018,-0.099
148.814,-0.975,-0.019,-0.069
148.871,-0.967,-0.022,-0.061
148.928,-0.974,-0.018,-0.063
148.984,-0.974,-0.025,-0.098
149.041,-0.967,-0.018,-0.073
149.097,-0.964,-0.031,-0.108
149.154,-0.971,-0.020,-0.096
149.211,-0.970,-0.022,-0.079
149.267,-0.968,-0.021,-0.106
149.323,-0.971,-0.020,-0.108
149.381,-0.969,-0.019,-0.078
149.437,-0.971,-0.019,-0.090
149.493,-0.970,-0.024,-0.078
149.550,-0.963,-0.024,-0.076
149.607,-0.971,-0.025,-0.082
149.663,-0.966,-0.024,-0.050
149.720,-0.965,-0.023,-0.093
149.776,-0.970,-0.021,-0.072
149.833,-0.972,-0.017,-0.070
149.890,-0.972,-0.019,-0.079
149.946,-0.968,-0.027,-0.068
150.002,-0.968,-0.021,-0.088
150.060,-0.975,-0.022,-0.098
150.116,-0.975,-0.020,-0.109
150.172,-0.972,-0.022,-0.062
150.228,-0.971,-0.030,-0.083
150.286,-0.972,-0.024,-0.084
150.342,-0.971,-0.021,-0.070
150.398,-0.969,-0.029,-0.062
150.455,-0.975,-0.019,-0.057
150.512,-0.970,-0.015,-0.113
150.568,-0.971,-0.016,-0.112
150.625,-0.973,-0.023,-0.093
150.681,-0.975,-0.022,-0.092
150.738,-0.970,-0.028,-0.107
150.795,-0.972,-0.022,-0.080
150.851,-0.971,-0.018,-0.066
150.907,-0.973,-0.027,-0.061
150.965,-0.969,-0.029,-0.032
151.021,-0.971,-0.021,-0.095
151.077,-0.973,-0.031,-0.084
151.134,-0.966,-0.018,-0.087
151.191,-0.974,-0.022,-0.106
151.247,-0.971,-0.034,-0.068
151.304,-0.971,-0.025,-0.107
151.360,-0.968,-0.024,-0.104
151.417,-0.978,-0.025,-0.065
151.474,-0.976,-0.021,-0.068
151.530,-0.968,-0.030,-0.086
151.586,-0.973,-0.028,-0.070
151.644,-0.966,-0.023,-0.091
151.700,-0.970,-0.023,-0.106
151.756,-0.970,-0.013,-0.052
151.813,-0.973,-0.022,-0.089
151.870,-0.966,-0.031,-0.115
151.926,-0.973,-0.019,-0.108
151.983,-0.977,-0.018,-0.105
152.039,-0.971,-0.024,-0.081
152.096,-0.971,-0.023,-0.098
152.153,-0.970,-0.028,-0.116
152.209,-0.975,-0.015,-0.084
152.265,-0.973,-0.022,-0.081
152.323,-0.974,-0.023,-0.067
152.379,-0.969,-0.029,-0.096
152.435,-0.970,-0.021,-0.118
152.492,-0.972,-0.017,-0.076
152.549,-0.972,-0.018,-0.093
152.605,-0.961,-0.027,-0.089
152.662,-0.979,-0.015,-0.089
152.718,-0.967,-0.017,-0.076
152.775,-0.969,-0.022,-0.047
152.832,-0.971,-0.020,-0.093
152.888,-0.973,-0.022,-0.086
152.944,-0.966,-0.024,-0.091
153.001,-0.970,-0.031,-0.112
153.058,-0.972,-0.016,-0.091
153.114,-0.965,-0.023,-0.102
153.170,-0.966,-0.027,-0.065
153.228,-0.970,-0.022,-0.121
153.284,-0.973,-0.019,-0.089
153.340,-0.976,-0.028,-0.068
153.397,-0.969,-0.022,-0.078
153.454,-0.965,-0.024,-0.107
153.510,-0.971,-0.020,-0.077
153.567,-0.969,-0.019,-0.070
153.623,-0.976,-0.020,-0.071
153.680,-0.968,-0.027,-0.079
153.737,-0.972,-0.029,-0.090
153.793,-0.973,-0.025,-0.088
153.849,-0.966,-0.021,-0.057
153.907,-0.975,-0.026,-0.081
153.963,-0.981,-0.022,-0.105
154.019,-0.969,-0.018,-0.061
154.076,-0.968,-0.024,-0.099
154.133,-0.971,-0.024,-0.068
154.189,-0.961,-0.025,-0.102
154.246,-0.976,-0.024,-0.089
154.302,-0.974,-0.022,-0.058
154.359,-0.970,-0.024,-0.071
154.416,-0.970,-0.020,-0.072
154.472,-0.965,-0.029,-0.087
154.528,-0.976,-0.027,-0.078
154.586,-0.977,-0.021,-0.099
154.642,-0.968,-0.026,-0.083
154.698,-0.972,-0.020,-0.076
154.755,-0.969,-0.026,-0.140
154.812,-0.975,-0.017,-0.080
154.868,-0.970,-0.028,-0.083
154.925,-0.962,-0.021,-0.063
154.981,-0.968,-0.021,-0.096
155.038,-0.966,-0.024,-0.083
155.095,-0.968,-0.019,-0.090
155.151,-0.967,-0.019,-0.098
155.207,-0.974,-0.023,-0.060
155.265,-0.973,-0.029,-0.081
155.321,-0.966,-0.014,-0.093
155.377,-0.974,-0.021,-0.089
155.433,-0.970,-0.021,-0.072
155.491,-0.969,-0.026,-0.084
155.547,-0.969,-0.019,-0.109
155.603,-0.974,-0.022,-0.095
155.660,-0.974,-0.017,-0.042
155.717,-0.969,-0.029,-0.098
155.773,-0.967,-0.024,-0.102
155.830,-0.972,-0.026,-0.112
155.886,-0.976,-0.026,-0.091
